軒樋コード,縦樋品名,縦樋サイズ,縦樋コード
N30,メタリック調軒といサーフェスケアＦＳ−II型,メタリック調たてとい６０,T90
N30,メタリック調軒といサーフェスケアＦＳ−II型,Chic Line89,T260
N30,メタリック調軒といサーフェスケアＦＳ−II型,Chic Line114,T270
N40,メタリック調軒といサーフェスケアＦＳ−Ｉ型,メタリック調たてとい６０,T90
N270,メタリック調軒といグランスケアＰＧＲ60,メタリック調たてとい６０,T90
N90,シビルスケアＰＣ77,60,T60
N90,シビルスケアＰＣ77,75,T70
N90,シビルスケアＰＣ77,PC30,T10
N90,シビルスケアＰＣ77,S30,T30
N90,シビルスケアＰＣ77,VP50,T100
N90,シビルスケアＰＣ77,VU50,T110
N90,シビルスケアＰＣ77,VP65,T120
N90,シビルスケアＰＣ77,VU65,T130
N100,シビルスケアＰＣ50,60,T60
N100,シビルスケアＰＣ50,75,T70
N100,シビルスケアＰＣ50,PC30,T10
N100,シビルスケアＰＣ50,S30,T30
N110,ジェイスケアＰＪ70,60,T60
N110,ジェイスケアＰＪ70,75,T70
N110,ジェイスケアＰＪ70,PC30,T10
N110,ジェイスケアＰＪ70,S30,T30
N120,パラスケアＵ105,60,T60
N120,パラスケアＵ105,PC30,T10
N120,パラスケアＵ105,S30,T30
N50,サーフェスケアＦＳ−II型,60,T60
N50,サーフェスケアＦＳ−II型,75,T70
N50,サーフェスケアＦＳ−II型,PC30,T10
N50,サーフェスケアＦＳ−II型,S30,T30
N50,サーフェスケアＦＳ−II型,VP50,T100
N50,サーフェスケアＦＳ−II型,VU50,T110,
N50,サーフェスケアＦＳ−II型,VP65,T120,
N50,サーフェスケアＦＳ−II型,VU65,T130,
N50,サーフェスケアＦＳ−II型,VP75,T140
N50,サーフェスケアＦＳ−II型,VU75,T150,
N50,サーフェスケアＦＳ−II型,VP100,T160,
N50,サーフェスケアＦＳ−II型,VU100,T170,
N50,サーフェスケアＦＳ−II型,Chic Line89,T260,
N50,サーフェスケアＦＳ−II型,Chic Line114,T270,
N60,サーフェスケアＦＳ−Ｉ型,60,T60
N60,サーフェスケアＦＳ−Ｉ型,PC30,T10
N60,サーフェスケアＦＳ−Ｉ型,S30,T30
N70,ファインスケアＮＦ−Ｉ型,60,T60
N70,ファインスケアＮＦ−Ｉ型,75,T70
N70,ファインスケアＮＦ−Ｉ型,PC30,T10
N70,ファインスケアＮＦ−Ｉ型,S30,T30
N70,ファインスケアＮＦ−Ｉ型,VP50,T100
N70,ファインスケアＮＦ−Ｉ型,VU50,T110
N70,ファインスケアＮＦ−Ｉ型,VP65,T120
N70,ファインスケアＮＦ−Ｉ型,VU65,T130
N80,グランスケアＰＧＲ60,60,T60
N80,グランスケアＰＧＲ60,PC30,T10
N80,グランスケアＰＧＲ60,S30,T30
N130,アイアン角Ｎ3.5II,45,T50
N140,アイアン丸105,60,T60
N140,アイアン丸105,75,T70
N150,アイアン丸120,60,T60
N150,アイアン丸120,75,T70
N150,アイアン丸120,90,T80
N160,ハイ丸75,45,T50
N190,エアロアイアン前高130ＷＩＤＥ,60,T60
N190,エアロアイアン前高130ＷＩＤＥ,75,T70
N190,エアロアイアン前高130ＷＩＤＥ,90,T80
N190,エアロアイアン前高130ＷＩＤＥ,VP50,T100
N190,エアロアイアン前高130ＷＩＤＥ,VU50,T110
N190,エアロアイアン前高130ＷＩＤＥ,VP65,T120
N190,エアロアイアン前高130ＷＩＤＥ,VU65,T130
N190,エアロアイアン前高130ＷＩＤＥ,VP75,T140
N190,エアロアイアン前高130ＷＩＤＥ,VU75,T150
N190,エアロアイアン前高130ＷＩＤＥ,VP100,T160
N190,エアロアイアン前高130ＷＩＤＥ,VU100,T170
N190,エアロアイアン前高130ＷＩＤＥ,Chic Line89,T260
N190,エアロアイアン前高130ＷＩＤＥ,Chic Line114,T270
N200,エアロアイアン前高165ＷＩＤＥ,75,T70
N200,エアロアイアン前高165ＷＩＤＥ,90,T80
N200,エアロアイアン前高165ＷＩＤＥ,VP65,T120
N200,エアロアイアン前高165ＷＩＤＥ,VU65,T130
N200,エアロアイアン前高165ＷＩＤＥ,VP75,T140
N200,エアロアイアン前高165ＷＩＤＥ,VU75,T150
N200,エアロアイアン前高165ＷＩＤＥ,VP100,T160
